ru,en
полуда,tinning
полужесткокрылые,hemiptera
полузащита,half-backs
полузащитник,half-back
полукафтан,short caftan
полуколония,semi-colonial territory
полукровка,half-blooded
полукустарник,subshrub
полумаска,half mask
полумгла,half-light
полумера,half measure
полуночник,night-owl
полуночница,night-owl
полуоборот,half-turn
полуокружность,semi-circumference
полупоклон,slight bow
полуприседание,half squatting
полупроводник,semi-conductor
полупустыня,semi-desert
полураспад,half-decay
полурота,half-company
полусвет,twilight
полустишие,hemistich
полутень,penumbra
полуторатонка,thirty-hundred-weight lorry
полуфиналист,semi-finalist
получательница,recipient
полушалок,kerchief
полушерсть,wool mixture
полушка,a quarter-copeck
полуэскадрон,half-squadron
полшага,half-pace
поляризатор,polarizer
поляризация,polarization
поляриметр,polarimeter
полярность,polarity
помадка,pomadka
помазание,anointing
помазанник,anointed sovereign
помарка,blot
поместительность,spaciousness
помещица,land-owning lady
поминовение,prayer
помология,pomology
помор,coast-dweller
поморка,coast-dweller
поморье,seaboard
помочи,leading strings
помпезность,pomposity
помпон,pompon
понёва,homespun woollen skirt
понизовье,lower reaches
поножовщина,knife-fight
поноска,object carried by a dog between its teeth
поношение,abuse
понтёр,punter
понтон,pontoon
понтонёр,pontooneer
понуждение,compulsion
понятливость,comprehension
понятность,clearness
поперечина,cross-beam
поплин,poplin
попович,son of priest
поповна,daughter of priest
поправление,correction
попрошайничество,begging
попрыгун,fidget
попрыгунья,fidget
популяризатор,popularizer
популяризация,popularization
попурри,pot-pourri
попутчица,fellow-traveler
поработитель,enslaver
поработительница,enslaver
порабощение,enslavement
пораженец,defeatist
пораженчество,defeatism
порей,leek
пористость,porosity
породистость,race
породность,race
поролон,porolon
поросятина,sucking-pig
пороховница,powder-flask
пороша,newly-fallen snow
порошинка,grain of powder
портативность,portability
портач,bungler
портер,portico
портовик,docker
порто-франко,free port
портплед,hold-all
портретист,portrait-painter
португалец,Portuguese
португалка,Portuguese
портулак,purslane
портшез,sedan
порубщик,wood-stealer
поругание,profanation
поручитель,guarantee
поручительница,guarantee
поручительство,guarantee
поручни,hand-rail
порфир,porphyry
порфира,the purple
порцион,ration
порывистость,impetuosity
посадник,accomplice
посевная,sowing campaign
посещаемость,attendance
последки,remainder
последовательница,follower
последыш,the last-born child
послелог,postposition
послушница,novice
пособница,accomplice
посрамление,disgrace
постепенность,gradualness
постирушка,a little bit of washing
пострел,little rogue
постриг,taking of monastic vows
постромка,trace
постскриптум,postscript
постфактум,post factum
потакание,indulgence
потаскуха,strumpet
потаскушка,strumpet
потатчик,indulger
потатчица,indulger
поташ,potash
потворство,indulgence
потворщик,panderer
потворщица,panderer
потемнение,darkening
потение,sweating
потенциометр,potentiometer
потник,sweat-cloth
потопление,sinking
потрава,damage
потребительница,consumer
потуги,muscular contraction
потухание,extinction
поучительность,instructiveness
похабность,obscenity
похабщина,obscenities
похвальба,bragging
похитительница,thief
похотливость,lust
почасовик,part-time lecturer
почвовед,soil scientist
почвоведение,soil science
почвоуглубитель,subsoil plough
починка,repairing
почитательница,admirer
почкование,budding
почтмейстер,postmaster
пошиб,manner
пошивка,sewing
пощёлкивание,clicking
прабабка,great-grandmother
правда-матка,home truth
правительница,ruler
правнучка,great-granddaughter
правовед,lawyer
правоведение,science of law
правоверность,orthodoxy
правомочие,competence
правонарушитель,wrongdoer
правописание,spelling
правосознание,feeling for law and order
правоспособность,capacity
прагматизм,pragmatism
практикум,practical work
практицизм,practicalness
практичность,practical
прапрадед,great-great-grandfather
прасол,cattle-dealer
праязык,parent language
превозношение,inordinate praise
прегрешение,sin
предательница,traitress
предварение,forewarning
предвестие,presage
предвестница,forerunner
предвзятость,preconception
предводительство,leadership
предвосхищение,anticipation
предикативность,predicativity
преднамеренность,premeditation
предначертание,outline
предопределение,predetermination
предосудительность,blameworthiness
предохранение,protection
предпарламент,Preparliament
предплужник,colter
предплюсна,tarsus
предпринимательница,owner
предрасположение,predisposition
предсказательница,foreteller
предуведомление,forewarning
предумышленность,premeditation
предупредительность,courtesy
предшественница,predecessor
предъявитель,bearer
преемство,succession
преждевременность,prematurity
презрительность,contempt
прекословие,contradiction
прекраснодушие,starry-eyed idealism
прелат,prelate
прелиминарии,preliminaries
преломление,refraction
преломляемость,refraction
прелюбодей,adulterer
прелюбодеяние,adultery
прелюд,prelude
премирование,awarding prize
премьерша,lead
пренебрежительность,scorn
препаратор,laboratory assistant
преподношение,presentation
преподобие,Reverence
препровождение,forwarding
прерия,prairie
прерыватель,interrupter
прерывистость,brokenness
пресмыкательство,grovelling
пресмыкающееся,reptile
пресс-атташе,press attache
пресс-бюро,press department
прессинг,pressing
прессовка,pressing
прессовщик,presser
пресс-папье,blotter
престижность,prestigiousness
престолонаследие,succession to the throne
престолонаследник,successor to the throne
пресыщение,satiety
претворение,conversion
претендентка,pretender
претенциозность,pretentiousness
претор,praetor
преторианец,praetorian
преуменьшение,underestimation
преуспеяние,success
префикс,prefix
префиксация,prefixion
приближённость,proximity
приблизительность,approximateness
приборостроение,instrument-making
прибыльность,profitability
приварка,welding
приварок,victuals
приват-доцент,privat-docent
привередливость,fastidiousness
привес,additional weight
привесок,makeweight
привилегированность,privileges
привитие,inculcation
приводка,registration
приводнение,splash-down
привой,scion
приволье,spaciousness
привратница,door-keeper
привычность,habitualness
привязчивость,affectionate nature
пригодность,fitness
пригон,bringing home
пригонка,fitting
приготовишка,pupil of preparatory form
придел,side-chapel
придира,caviller
придирчивость,captiousness
придурковатость,silliness
приемлемость,acceptability
приёмщик,examiner
приёмщица,examiner
приживальщик,dependant
прижигание,cauterization
приземлённость,narrowly utilitarian outlook
призрение,care
приискание,finding
прикладка,levelling
приклёпка,riveting
прикорм,feeding up
прикосновенность,concern
прикраса,embellishment
прикрепление,fastening
прикус,bite
прикуска,crib-biting
прилежание,diligence
прилипала,bore
прилистник,stipule
прилунение,landing on the Moon
прима-балерина,prima ballerina
приматы,primates
применимость,applicability
приметливость,power of observation
примечательность,notability
примиренец,conciliator
примиренчество,conciliatoriness
примиритель,reconciler
примитив,primitive
примитивизм,primitivism
примитивность,primitiveness
примула,primula
примыкание,contiguity
принижение,disparangement
приниженность,humility
приношение,offering
принуждённость,constraint
принципал,principal
принципат,principate
приостановка,stopping
припайка,soldering
припарка,poultice
припасы,stores
припёк,surplus
приписывание,ascription
приплата,extra payment
приплод,litter
приподнятость,elation
припой,solder
приправка,making ready
припуск,allowance
приращение,increase
природовед,natural historian
природоведение,natural history
прислужничество,subservience
присоска,sucker
приспешница,myrmidon
приспособленец,time-server
приспособленность,fitness
приспособленчество,time-serving
приспособляемость,adaptability
приставание,bothering
пристальность,fixedness
пристойность,decency
пристрастность,partiality
пристрелка,adjustment
пристяжная,outrunner
присуждение,awarding
присылка,sending
притвор,vestibule
притворщик,pretender
притворщица,pretender
притеснение,oppression
притеснитель,oppressor
притеснительница,oppressor
приторность,lusciousness
притупление,blunting
приумножение,increase
прихвостень,hanger-on
прихлебатель,sponger
прихлебательство,sponging
прихожанка,parishioner
прихотливость,whimsicality
прицветник,bract
прицепка,hitching
прицепщик,trailer hand
прицепщица,trailer hand
причащение,receiving communion
причетник,juniour deacon
причиндалы,belongings
причинность,causality
причисление,reckoning
причт,the clergy of parish
причудливость,fancifulness
причудник,crank
причудница,crank
прищепка,clothes-peg
пробивка,holing
пробирщик,assayer
проблематичность,problematical character
пробойник,punch
пробочник,corkscrew
проверщик,checker
проверщица,checker
провес,short weight
провинциализм,provincialism
провинциалка,provincial
провинциальность,provinciality
проводимость,conductivity
провозоспособность,carrying capacity
прогиб,caving in
прогоны,travelling allowance
прогорклость,rankness
прогрев,warming up
прогрессивность,progressiveness
прогрессия,progression
прогульщик,shirker
прогульщица,shirker
продналог,tax in kind
продразвёрстка,surplus-appropriation system
продувание,insufflation
продувка,scavenging
продуктообмен,products-exchange
продушина,air-hole
прожектёр,schemer
прожилка,vein
прожитие,living
прожорливость,voracity
прозаизм,prosaism
прозаичность,prosaic nature
прозектор,prosector
прозелит,proselyte
прозодежда,working clothes
прозябание,vegetation
производственница,one engaged in production
произвольность,arbitrariness
произнесение,pronouncing
произрастание,growth
пройма,arm-hole
проказливость,prankishness
проказник,a bundle of mischief
проказница,a bundle of mischief
прокалка,tempering
прокатка,rolling
прокатчик,roller
проклейка,sizing
прокус,bite
пролаза,dodger
пролесок,glade
пролетарка,proletarian
пролонгация,prolongation
промер,measurement
промозглость,dankness
промысловик,miner
проникновенность,emotion
проныра,sly-boots
пропагандистка,propagandist
пропашка,intertillage
пропашник,cultivator
пропедевтика,propaedeutics
пропитка,impregnation
пропойца,drunkard
пропорциональность,proportionality
прорастание,germination
прорез,cut
прорезывание,cutting
прорицание,soothsaying
прорицательница,soothsayer
пророчица,prophetess
просачивание,percolation
просветительство,enlightenment
просвечивание,radiography
просвещенец,educationist
просвещённость,culture
просвира,communion bread
просеивание,sifting
просительница,applicant
проскрипция,proscription
проскурняк,marsh mallow
прославление,glorification
просодия,prosody
просрочка,delay
простата,prostate
простоватость,simplicity
простосердечие,simple-heartedness
простофиля,duffer
пространность,extensiveness
прострел,lumbago
простушка,simpleton
просцениум,proscenium
протезист,prosthetist
протеид,proteids
протеин,protein
протекторат,protectorate
протекционизм,protectionism
протекционист,protectionist
протестантизм,Protestantism
противница,opponent
противозаконность,illegality
противоракета,anti-missile
протирка,cleaning
протоген,protogine
протодьякон,archdeacon
протравка,picking
протравливание,picking
протуберанец,solar prominence
протяжность,slowness
проушина,lug
профбилет,trade union card
профгруппа,trade union group
профдвижение,trade union movement
профессионалка,professional
профессорство,professorship
профилакторий,preventive clinic
профорг,trade union organizer
профорганизация,trade union organization
профориентация,vocational guidance
профработа,trade union work
профработник,trade union worker
прохиндей,swindler
проходка,driving
проходчик,driver
прочерк,dash
прошивка,insertion
прощелыга,knave
проявитель,developer
прояснение,clearing
пружинистость,elasticity
прусак,cockroach
пруссак,Prussian
прыгание,jumping
прыткость,quickness
прюнель,prunella
прядение,spinning
прядильщик,spinner
прядильщица,spinner
прямизна,straightness
прямодушие,straightforwardness
пряха,spinner
псаломщик,reader
псалтырь,Psalter
псарня,kennel
псевдоклассицизм,pseudo-classicism
психастения,psychasthenia
психоневроз,psychoneurosis
психоневрология,psychoneurology
психоневропатолог,psychoneuropathologist
психопатология,psychopathology
психотехника,vocational psychology
психофизика,psychophysics
психофизиология,psychophysiology
птенчик,nestling
птеродактиль,pterodactyl
птицевод,bird-fancier
птицеловство,fowling
птицеферма,poultry farm
птичник,poultry-yard
птичница,poultry-woman
птомаин,ptomaine
пуансон,puncheon
публичность,publicity
пугливость,fearfulness
пудлингование,puddling
пудовой,one pood
пудреница,powder-case
пузырник,senna
пулемётчица,machine-gunner
пуловер,pullover
пульверизация,pulverization
пульпа,pulp
пульсометр,pulsometer
пулярка,fatted fowl
пунктуальность,punctuality
пунктуация,punctuation
пуночка,snow bunting
пунсон,punch
пунш,punch
пуризм,purism
пурист,purist
пуританин,Puritan
пуританство,Puritanism
пурпур,purple
пустельга,kestrel
пустобрёх,chatterbox
пустозвон,idle talker
пустозвонство,idle talk
пустомеля,twaddler
пустослов,idle talker
пустословие,idle talk
пустынник,hermit
пустынь,hermitage
путаник,fumbler
путемер,pedometer
путеобходчик,trackman
путеочиститель,track-clearer
путепровод,overpass
путеукладчик,tracklayer
путешественница,traveller
путница,traveller
пуф,pouffe
пуховик,Winter parkas
пуховка,puff
пучеглазие,exophthalmus
пучность,antinode
пушкарь,gunner
пушкиноведение,Pushkin studies
пуэрториканец,Puerto-Rican
пуэрториканка,Puerto-Rican
пчеловод,bee-keeper
пчеловодство,bee-keeping
пчелолечение,apiotherapy
пчельник,bee-garden
пшённик,millet-pudding
пыж,wad
пыжик,young reindeer
пылкость,ardency
пыльник,anther
пырей,couch-grass
пытливость,inquisitiveness
пьексы,ski boots
пэр,peer
пяльцы,tambour
пясть,metacarpus
пятёрочник,excellent pupil
пятёрочница,excellent pupil
пятиалтынный,fifteen-copeck coin
пятиборье,pentathlon
пятигранник,pentahedron
пятидесятилетие,fiftieth anniversary
пятидневка,five-day week
пятиклассник,fifth-form boy
пятиклассница,fifth-form girl
пятилетие,fifth anniversary
пятиполье,five-field crop rotation
пятирублёвка,five-rouble note
пятисотлетие,five-hundredth anniversary
пятитонка,five-ton lorry
пятиугольник,pentagon
пятнашки,tag
рабкор,worker correspondent
рабовладелица,slave-holder
рабовладение,slave-owning
раболепство,servility
работорговец,slave-trader
работорговля,slave-trade
рабфаковец,rabfak student
рабфаковка,rabfak student
равелин,ravelin
равнение,dressing
равноденствие,equinox
равномерность,evenness
равноценность,equivalence
радение,zeal
радий,radium
радикальность,radicalism
радиоактивность,radioactivity
радиоаппарат,radio set
радиоастроном,radio-astronomer
радиоастрономия,radio-astronomy
радиобиолог,radio-biologist
радиобиология,radio-biology
радиовещание,broadcasting
радиовидимость,radio visibility
радиовысотомер,radio altimeter
радиография,radiography
радиожурнал,regular feature
радиозонд,radiosonde
радиоинженер,radio engineer
радиоинформация,radio-information
радиоканал,radio channel
радиокоманда,radio command
радиокомментатор,radio commentator
радиокомпас,radio compass
радиоконцерт,radio concert
радиолампа,radio valve
радиолог,radiologist
радиология,radiology
радиолокатор,radio-locator
радиолокация,radiolocation
радиолуч,radio beam
радиолюбитель,radio-amateur
радиомачта,radio-mast
радиомаяк,radio beacon
радиометеорология,radio meteorology
радиометр,radiometer
радиометрист,radar operator
радиометрия,radiometry
радиомолчание,radio silence
радиомонтаж,radio
радионаблюдение,radio observation
радионаведение,radio guidance
радионаушники,earphones
радиопеленгатор,radiogoniometer
радиопеленгация,radio direction-finding
радиопередатчик,transmitter
радиоперекличка,exchange of radio messages
радиоперехват,wireless interception
радиопомехи,radio interference
радиопостановка,radio show
радиоприём,radio reception
радиосеть,radio network
радиоспектакль,radio play
радиотеатр,radio theatre
радиотелеграф,wireless
радиотелеграфия,radio-telegraphy
радиотелеметрия,radio telemetry
радиотелескоп,radio-telescope
радиотелефония,radio-telephony
радиотерапия,radio-therapy
радиотехник,radio technician
радиотехника,radio engineering
радиотрансляция,broadcasting
радиотуманность,radio nebula
радиоузел,radio relay centre
радиоуправление,radio control
радиоустановка,radio set
радиофизика,radio physics
радиохимия,radio-chemistry
радиоцентр,broadcasting centre
радиочастота,radio-frequency
радиоэлектроника,radio electronics
радон,radon
раёк,gallery
разбазаривание,squandering
разбивка,laying out
разболтанность,looseness
разборчивость,legibility
разбрасыватель,spreader
разброд,disorder
разбросанность,sparseness
разбухание,swelling
развалины,ruins
разведцентр,reconnaissance centre
развёрстка,apportionment
развёртка,development
развес,weighing out
развеска,weighing out
разветвление,branching
развилина,for
развинченность,restiveness
развлекательность,amusement
разводка,saw set
разводы,free designs
развоз,conveyance
развозка,conveying
развратитель,debaucher
развратительница,seducer
развратница,debauchee
развратность,depravity
развращённость,corruptness
разгерметизация,depressurization
разговорчивость,talkativeness
разграбление,plunder
разграждение,removal of obstacles
разграфление,ruling
разгулье,merry-making
раздатчик,distributor
раздатчица,distributor
раздевальня,cloak-room
раздевание,undressing
раздражимость,irritability
раздробление,breaking up
раздувание,blowing
разжалование,degradation
разжёвывание,chewing
разжива,gain
разжижение,dilution
разиня,scatter-brain
разительность,strikingness
разливание,pouring out
разлитие,overflow
разлучник,rival in love
разлучница,rival in love
размазня,gruel
размежевание,demarcation
размельчение,making small
размен,exchange
разметка,marking-out
размётчик,marker
разминирование,mine clearing
размол,grinding
размотка,unwinding
размыв,wash-out
размывание,washing out
размыкание,breaking
размягчение,softening
разнобой,lack of co-ordination
разновес,set of weights
разноголосица,discordance
разное,any other business
разномыслие,difference of opinion mind
разнообразность,variety
разноречивость,contradiction
разнородность,heterogeneity
разноска,delivery
разносол,pickle
разносторонность,versatility
разнотравье,motley grass
разночтение,alternative version
разнузданность,unruliness
разоблачитель,unmasker
разобщение,disconnection
разобщитель,disconnector
разогревание,warming-up
разорительность,ruinousness
разрежённость,rarefaction
ракета-зонд,rocketsonde
ракетоноситель,launch vehicle
ракетостроение,rocket production
ракита,broom
ракитник,broom
ракушечник,coquina
ралли,rally
раллист,rallier
рангоут,spars
ранет,rennet
рант,welt
рантье,rentier
рапа,brine
рапирист,fencer
рапиристка,fencer
рапс,rape
рапсодия,rhapsody
раскалывание,cleavage
расквартирование,quartering
раскисление,deoxidization
раскислитель,deoxidizer
раскладка,apportionment
расклейка,sticking
расклейщик,bill-sticker
раскопки,excavations
раскрашивание,painting
раскрепощение,emancipation
раскупоривание,uncorking
распаковка,unpacking
распаковывание,unpacking
распашка,ploughing up
распечатывание,unsealing
распил,saw cut
распилка,sawing
распиловка,sawing
расплавление,melting
расплавливание,melting
расплывчатость,diffusion
расплющивание,flattening
распор,thrust
распорка,distance piece
распорядительница,manager
распорядительность,good management
распространительница,spreader
распускание,blooming
распустёха,slattern
распутница,profligate
распутство,libertinism
распухание,swelling
распыление,dispersion
распылитель,sprayer
распялка,stretching frame
рассадка,planting out
рассадник,seed-plot
рассеивание,dispersion
рассольник,rassolnik
рассортировка,sorting out
расспросы,questions
рассредоточение,dispersal
расстегай,rasstegai
расстыковка,undocking
растворимость,solubility
растениевод,plant-grower
растениеводство,plant-growing
расторопность,quickness
расточение,dissipation
расточитель,squanderer
расточительница,squanderer
расточительность,extravagance
расточительство,squandering
растратчик,embezzler
растратчица,embezzler
растрёпа,shock-head
растушёвка,shading
растяжимость,tensility
растянутость,prolixity
расфасовка,packing
расформирование,breaking up
расхищение,plunder
расхлябанность,looseness
расцепка,uncoupling
расцепление,unhooking
расчалка,brace
расчёсывание,combing
расчётливость,prudence
расчётчик,estimator
расчётчица,estimator
расчленение,dismemberment
расшатанность,shakiness
расширитель,dilator
расширяемость,expansibility
расшифровщик,decoder
расшифровщица,decoder
раут,rout
рахат-лукум,rahat lakoum
рахитик,rickety
рационализатор,rationalizer
рационалист,rationalist
рачительность,zeal
рашкуль,charcoal-pencil
рашпер,gridiron
рашпиль,rasp
рванина,rags
рвач,self-seeker
рвачество,selfseeking
рвотное,emetic
реакционер,reactionary
реакционность,reactionary character
реаниматор,reanimator
реборда,flange
ребристость,ribbing
ребячество,childishness
рёва,cry-baby
ревальвация,revaluation
реваншизм,revanchism
реваншист,revanchist
реввоенсовет,Revolutionary War Council
ревень,rhubarb
реверберация,reverberation
ревизионизм,revisionism
ревком,Revolutionary Committee
ревматик,rheumatic
ревматолог,rheumatologist
ревматология,rheumatology
ревмокардит,rheumatic heart disease
ревнительница,adherent
револьверщик,capstan lathe operator
революционерка,revolutionary
революционность,revolutionary character
ревтрибунал,Revolutionary Tribunal
ревун,howler
ревю,revue
регалии,regalia
регата,regatta
регби,Rugby
регбист,Rugby-player
регенератор,regenerator
регент,regent
регентство,regency
регистраторша,registrar
регистратура,registry
регламентация,regulation
реглан,raglan
регулировщица,traffic-controller
регулы,menses
регулярность,regularity
редис,garden radish
редколесье,sparse growth of trees
редуктор,reduction gear
редукция,reduction
редут,redoubt
резак,chopping-knife
резеда,mignonette
резекция,resection
резонатор,resonator
резонёр,arguer
резорцин,resorcin
резус,rhesus
резус-фактор,Rhesus factor
рейдер,raider
рейнвейн,Rhine wine
рейсфедер,drawing-pen
рейсшина,T-square
рейтузы,breeches
рейхсканцлер,Reichschancellor
реквизиция,requisition
рекламация,reclamation
реконверсия,reconversion
рекордист,champion
рекордистка,champion
рекордсменка,record-holder
ректификат,rectified product
ректификация,rectification
ректорат,university administration
реликт,relic
рельефность,relief
релятивизм,relativity
ремесленничество,workmanship
ремиз,fine
ремилитаризация,remilitarization
реминисценция,reminiscence
ремонтёр,remount officer
ренегатка,renegade
ренегатство,desertion
ренклод,greengage
ренонс,revoke
рентгенизация,X-raying
рентгенограмма,X-ray photograph
рентгенография,radiography
рентгенолог,radiologist
рентгенология,rontgenology
рентгеноскопия,rontgenoscopy
рентгенотерапия,X-ray therapy
Реомюр,Reaumur
реостат,rheostat
репарация,reparation
репатриантка,repatriate
репатриация,repatriation
репер,bench-mark
репица,dock
реплантация,replantation
реполов,linnet
репрессалии,reprisals
репс,rep
рептилия,reptile
рескрипт,rescript
респектабельность,respectability
респиратор,respirator
республиканка,republican
ресторатор,restaurateur
ретивость,zeal
ретина,retina
реторта,retort
ретрансляция,relaying
ретроград,reactionary
ретроградка,reactionary
ретроспектива,retrospective review
ретушёвка,retouch
ретушёр,retoucher
ретуширование,retouching
ретушь,retouch
рефлексолог,reflexologist
рефлексология,reflexology
реформизм,reformism
реформист,reformist
рефрактометр,refractometer
рефрактор,refractor
рефрен,refrain
рецидивизм,recidivism
рецидивистка,recidivist
речение,expression
речник,river transport worker
реэвакуация,re-evacuation
ржавость,rustiness
ржанка,plover
ригоризм,rigorism
ригорист,rigorist
ризница,sacristy
римлянка,Roman
рискованность,riskiness
рисовальщик,graphic artist
рисовальщица,graphic artist
рисовка,posing
рисовод,rice-grower
рисоводство,rice-growing
ристалище,stadium
ритмика,rhythmics
ритмичность,rhythm
ритор,rhetorician
рифмоплёт,rhymer
роббер,rubber
рогожка,hopsack
рогоз,reed mace
рогоносец,cuckold
родий,rhodium
родимчик,convulsions
родины,celebration of birth of child
родители,parents
родительница,mother
родственность,likeness
роение,swarming
рожечник,horn-player
розарий,rosarium
розговенье,first meal after fast
роздых,pause
розмарин,rosemary
рокада,belt road
рокировка,castling
рококо,rococo
рол,roll
романизация,Romanization
романистика,Romance philology
романтичность,romanticism
ромбоид,rhomboid
ромштекс,rump steak
рондо,rondo
роскошество,extravagance
ростбиф,roast beef
ростовщичество,usury
ростра,rostrum
ростр,booms
росянка,sundew
ротапринт,rotaprint
ротатор,duplicator
ротация,rotary press
ротозейство,heedlessness
ротоногие,stomatopoda
рохля,dawdle
роялизм,royalism
роялист,royalist
рубероид,ruberoid
рубидий,rubidium
рубище,rags
рублёвка,one-rouble note
рубрикация,dividing according to subject headings
рубчик,rib
ругатель,swearer
рудимент,rudiment
ружейник,gunsmith
рукавчик,short sleeve
рукоделие,needlework
рукокрылые,cheiroptera
рукопашная,hand-to-hand fight
рукоплескание,applause
рулет,roll
румб,point
румпель,tiller
румынка,Romanian
руно,fleece
руны,runes
рупия,rupee
русак,hare
русизм,Russism
русист,specialist in Russian philology
русификатор,Russifier
русификация,Russification
русская,Russian woman
рутений,ruthenium
рутил,rutile
рутинёр,slave to routine
рутинёрка,slave to routine
рутинёрство,slavery to routine
ручательство,guarantee
ручник,bench hammer
рыбнадзор,fishing control
рыбник,specialist in fish-breeding
рыбовод,fish-breeder
рыбоводство,fish-breeding
рыбозавод,fish-factory
рыбопромышленность,fishing industry
рыборазведение,fish-farming
рыботорговец,fishmonger
рыбоход,fish-pass
Рыбы,the Fish
рыдван,large coach
рым,ring
рыхлость,friability
рыцарство,knights
рьяность,zeal
рюш,ruche
рябинник,thicket of rowan
рябиновка,rowan vodka
рядность,lane
ряженка,ryazhenka
саам,Lapp
саами,Lapp
сабантуй,merry-making
саблист,fencer
саблистка,fencer
сабо,sabot
сабур,aloes
садовница,gardener
сажалка,planter
сажёнки,overarm stroke
сайга,saiga
сайка,roll
сак,bag
сакля,saklya
саксонец,Saxon
саксонка,Saxon
салака,sprat
салатник,salad-dish
салатница,salad-dish
салинг,cross-trees
салки,tag
салол,salol
салон-вагон,saloon
салфеточка,doily
сальварсан,salvarsan
сальдо,balance
сальность,obsceneness
сальто-мортале,somersault
саман,adobe
самбук,elder
самоанализ,self-examination
самобичевание,self-flagellation
самовластие,autocracy
самовлюблённость,self-admiration
самовнушение,auto-suggestion
самоволие,licence
самоволка,absence without leave
самовоспитание,self-education
самовосхваление,self-glorification
самогонщик,boot-legger
самогонщица,boot-legger
самодельщина,bungle
самодисциплина,self-discipline
самодурство,petty tyranny
самозажигание,self-ignition
самозакалка,self-hardening
самозарождение,self-generation
самозванка,impostor
самозванство,imposture
самоиндукция,self-induction
самоистребление,self-destruction
самоистязание,self-torture
самокат,bicycle
самокатчик,bicyclist
самолётовождение,air navigation
самолёто-вылет,sortie
самолётостроение,aircraft construction
самолёт-перехватчик,interception plane
самолёт-снаряд,flying bomb
самолечение,self-treatment
самонаблюдение,introspection
самообвинение,self-accusation
самообличение,self-accusation
самообложение,voluntary rate-paying
самообогащение,self-enrichment
самообожание,self-adoration
самообольщение,delusions about oneself
самообразование,self-education
самоограничение,self-restriction
самоокупаемость,self-repayment
самооплодотворение,self-fertilization
самооправдание,self-justification
самоопыление,self-fertilization
самоосуждение,self-condemnation
самоотвод,refusal to accept
самоотравление,auto-intoxication
самоотречение,renunciation
самоохрана,self-protection
самописка,fountain-pen
самопознание,self-knowledge
самопомощь,self-help
самопроизвольность,spontaneity
самопрялка,spinning-wheel
самопуск,self-starter
саморазоблачение,self-exposure
самореклама,self-advertisement
самосев,self-seeding
самоторможение,self-braking
самоунижение,self-abasement
самоуничижение,self-abasement
самоуплотнение,self-packing
самоуспокоение,complacency
самоуспокоенность,complacency
самоучитель,manual for self-tuition
самохвальство,self-advertisement
самум,simoom
самшит,box
сангвина,sanguine
сангвиник,sanguine person
сандал,sandalwood
сандалии,sandals
санитария,sanitation
санкюлот,sansculotte
саночник,tobogganer
саночница,tobogganer
санскрит,Sanskrit
санскритолог,Sanskritist
сантиграмм,centigramme
сантим,centime
сантонин,santonin
сап,glanders
сапа,sap
сарабанда,saraband
сарацин,Saracen
сардинка,pilchard
сардоникс,sardonyx
саржа,serge
сари,sari
саркома,sarcoma
сарпинка,printed calico
сарыч,buzzard
сателлит,satellite
сатинет,satinet
сатурналии,Saturnalia
сахарин,saccharin
сахароварение,sugar refining
сахароза,saccharose
сахарозаводчик,owner of sugar-refinery
сбивчивость,inconsistency
сборки,gathers
сварливость,quarrelsomeness
сватья,mother of the son-in-law
сваха,matchmaker
свекловица,sugar-beet
свекловод,beet grower
свекловодство,beet growing
свеклокопатель,beet harvester
свеклосовхоз,State beetroot farm
свекольник,beet tops
сверка,canvas
сверловщик,driller
свёртываемость,coagulability
сверхзадача,the most important task
сверхприбыль,superprofit
сверхпроводимость,superconductivity
сверхпроводник,superconductor
свес,overhand
светёлка,attic
светлица,front room
светобоязнь,photophobia
светокопия,photostat
светолечебница,heliotherapy institute
светолечение,heliotherapy
светомаскировка,black-out
светомузыка,son et lumiere
светопись,photography
светопреставление,the end of the world
светосигнализация,lamp signalling
светосила,illumination
светотень,chiaroscuro
светотехника,lighting technology
светофильтр,heliofilter
светочувствительность,photosensitivity
светскость,good manners
свивальник,swaddling-bands
свинарка,pig-tender
свинарь,pig-tender
свиновод,pig-breeder
свиноводство,pig-breeding
свиноматка,sow
свинопас,swine-herd
свиноферма,pig farm
свинуха,flat-cap mushroom
свинушка,flat-cap mushroom
свиристель,waxwing
свистопляска,pandemonium
свистунья,whistler
свободолюбие,love of freedom
свободомыслие,free-thinking
сводник,procurer
сводница,procuress
сводничество,procuration
своевременность,timeliness
своекорыстие,self-interest
своенравие,wilfulness
своенравность,wilfulness
своеобразность,originality
свояченица,sister-in-law
связник,messenger
связность,connectedness
святки,Christmas-tide
святая,Easter-week
святоша,hypocrite
святцы,calendar
священнодействие,religious rite
священство,priesthood
сгибатель,flexor
сговорчивость,compliancy
сгущаемость,condensability
сгущение,thickening
сдваивание,doubling
сдельщик,piece-worker
сдельщина,piece-work
сдоба,shortening
себялюбец,egoist
себялюбие,self-love
североморец,sailor of the Northern Sea fleet
севооборот,rotation of crops
севрюга,stellate sturgeon
сегментация,segmentation
сегрегация,segregation
седалище,seat
седёлка,saddle
седельник,saddler
сезам,sesame
сезонник,seasonal worker
сезонность,seasonal prevalence
сейна,seine
сейсмика,seismicity
сейсмограмма,seismogram
сейсмограф,seismograph
сейсмография,seismography
сейсмолог,seismologist
сейсмология,seismology
сейсмометр,seismometer
секанс,secant
секатор,secateur
секач,chopper
секретарство,secretaryship
секретин,secretin
сексолог,sexologist
